year,per_capita_income
1970,112
1971,119
1972,123
1973,144
1974,163
1975,158
1976,161
1977,186
1978,206
1979,224
1980,267
1981,270
1982,274
1983,291
1984,277
1985,296
1986,310
1987,340
1988,354
1989,346
1990,368
1991,303
1992,317
1993,301
1994,346
1995,374
1996,400
1997,415
1998,413
1999,442
2000,443
2001,452
2002,471
2003,547
2004,628
2005,715
2006,807
2007,1028
2008,999
2009,1102
2010,1358
2011,1458
2012,1444
2013,1450
2014,1574
2015,1606
2016,1733
2017,1982
2018,2006
2019,2104
